,bio,followers,following,following_back,highlight_count,mutual,post_count,private,recently_joined,username,verified
sarahgraceeyl,"Rest easy Alec 10•3•18 <3
WHS
Cross country and track 
AA hunters and 1D barrel racing
North Georgia Goldrush 2–1-17
Not your baby ��",529,437,1,6,43,7,True,False,sarahgraceeyl,False
tadaycock,CENTER @ GEORGIA TECH,1350,1053,1,1,163,48,False,False,tadaycock,False
lucyrsd,,922,427,1,0,25,29,False,False,lucyrsd,False
meghannjonovich,nj // @axoclemson,1441,974,1,3,55,75,False,False,meghannjonovich,False
danhiggins12,Clemson,593,559,1,0,15,4,True,False,danhiggins12,False
laurahannel,,141,153,1,0,15,149,True,False,laurahannel,False
ktarm5,Enjoy!!,119,201,1,0,11,63,True,False,ktarm5,False
e_jmiller,KSU ‘23,589,560,1,0,125,11,True,False,e_jmiller,False
wesley_nichols,Clemson ‘23,391,469,1,0,50,27,True,False,wesley_nichols,False
jmarbut,"Sheboygan, Wisconsin",1494,1594,1,0,1,73,True,False,jmarbut,False
joshabs18,Clemson '19 �Clemson Crew�~Go Tigs~,427,624,1,0,32,23,True,False,joshabs18,False
acmclemson,,52,46,1,0,4,9,False,False,acmclemson,False
tedkeim72,,116,168,1,0,28,60,True,False,tedkeim72,False
drew_fiscus,"╭━┳━╭━╭━╮╮
┃┈┈┈┣▅╋▅┫┃
┃┈┃┈╰━╰━━━━━━╮
╰┳╯┈┈┈┈┈┈┈┈┈◢▉◣
╲┃┈┈┈┈┈┈┈┈┈┈▉▉▉
╲┃┈┈┈┈┈┈┈┈┈┈◥▉◤
╲┃┈┈┈┈╭━┳━━━━╯
╲┣━━━━━━┫ 
Varsity lax #18 ~ FCS 2020",519,524,1,0,132,44,True,False,drew_fiscus,False
emmaaa_cole,utk ‘23,1392,1004,1,0,198,169,True,False,emmaaa_cole,False
brady_niblock12,If you really want to do something you'll find a way and if you don't u will find an excuse.          sc: bradyniblock12,881,998,1,0,192,40,False,False,brady_niblock12,False
katebuchweitz,be kind anyway                                                       � u of a ΔΔΔ,1679,1112,1,7,206,89,False,False,katebuchweitz,False
shelbystock2,Nice!,142,172,1,0,28,446,True,False,shelbystock2,False
rrrtrey15,Auburn University,1066,790,1,0,156,49,True,False,rrrtrey15,False
jack_gabriel,Clemson ‘23,1020,679,1,0,36,10,True,False,jack_gabriel,False
garrett.hau_,FCS ‘21//Sc: ghauenstein_25,1006,747,1,0,158,13,False,False,garrett.hau_,False
livvymarks,University of Tennessee ‘23,914,1033,1,0,175,39,True,False,livvymarks,False
pkbullington,"Pastor/Mentor, High School Bible teacher, Missions Director. Follow me @donsverses for a daily Bible verse and devotional thought.",630,646,1,0,81,395,True,False,pkbullington,False
erikkuy8,,1143,1462,1,1,31,19,False,False,erikkuy8,False
noah.dryden,,966,881,1,0,171,24,True,False,noah.dryden,False
cjfuller_official,"Clemson '22 
ACM Co-President 
ITSAB 2019-2022
@thereachprojectsc
Genesis 50:20
Just trying to put the yummy in the bag",804,1362,1,6,6,18,False,False,cjfuller_official,False
teddykeim5,gcsu '22 | Putnam YL | ATΩ | Cole�,1747,1263,1,1,183,115,False,False,teddykeim5,False
ethan.cox18,,228,280,1,0,50,4,True,False,ethan.cox18,False
wesleybullington,"""He don't want to die. He wants to live. Don't nobody want to die, ever."" 
-James Baldwin, Sonny's Blues
UGA '21 Writer!",625,585,1,0,93,0,True,False,wesleybullington,False
benquisito,atlanta | tennessee delt,1155,1028,1,1,19,27,False,False,benquisito,False
merrickhaigler,Organ Donor,1560,1203,1,0,191,29,False,False,merrickhaigler,False
jackabertini,"Clemson ‘23 
Old account hacked",208,298,1,0,2,1,False,False,jackabertini,False
riley_bennett34,"#34 MPCS 2021�⚪�� 
#15 3D Georgia 
Snap: Bennett-Riley",433,524,1,0,9,6,True,False,riley_bennett34,False
hwmelrose,scad '22 — Pale Blue Moon Fundraiser,932,1122,1,3,88,59,False,False,hwmelrose,False
ryan_marshh,FCS 23’ �amosc-ryan_marsh23,523,768,1,0,69,0,True,False,ryan_marshh,False
kyle_carey_00,FCS  ‘22⚾�Baseball⚾�,256,389,1,0,57,1,True,False,kyle_carey_00,False
ajnardone,Lee U ‘23,382,412,1,2,136,5,True,False,ajnardone,False
graham.meyer,"clemson ‘23 ★ nashville
sc: grahammeyer21                                                    @grahamfitfood",903,1131,1,3,75,52,True,False,graham.meyer,False
claire_kammerer,,339,560,1,1,56,5,True,False,claire_kammerer,False
evan.2262,,259,806,1,4,80,18,True,False,evan.2262,False
s.m.toms,This is it,106,168,1,1,8,288,True,False,s.m.toms,False
chandler_jones9,WR | Charleston Southern,4914,1790,1,5,92,45,False,False,chandler_jones9,False
lindsvanzyl,"Stepping away from striving to live a perfect life and learning to live in perfect peace.
Started a new thing @posture.podcast
I also write here ��",829,414,1,0,13,523,False,False,lindsvanzyl,False
nick.torres10,"Jeremiah 29:11
WHS ‘21
12-19-18 R.I.P Reed�",965,2461,1,0,40,19,True,False,nick.torres10,False
mackenzie__gibbs,"Will Travel for Food☼
CCU W. Soccer
ATL•",1597,1252,1,17,111,136,True,False,mackenzie__gibbs,False
evanlbarker,,328,589,1,0,73,10,True,False,evanlbarker,False
bayloraycock12,uga ‘24 ★★,734,635,1,0,169,55,True,False,bayloraycock12,False
ben.rrogers,Livin’ Life,911,884,1,0,139,62,False,False,ben.rrogers,False
ezekielquarles,sequoyah ‘20,1790,1436,1,2,2,8,True,False,ezekielquarles,False
jamesmilhollin,Matthew 28:20 | uga ‘22,1487,991,1,0,171,41,False,False,jamesmilhollin,False
christophe.lepave,a6e709e9d,537,516,1,0,163,15,False,False,christophe.lepave,False
camille_davenport,ga//tn//wv • abu lacrosse ‘22,859,1914,1,1,75,31,True,False,camille_davenport,False
cvanbreene,Hey @julianinglima what should my bio be?,731,523,1,1,76,9,True,False,cvanbreene,False
patrick_mcginnis,MTSU ‘23 �,925,755,1,0,197,9,True,False,patrick_mcginnis,False
yashd.esai,Members only be the clique¡,958,1280,1,0,7,10,True,False,yashd.esai,False
fancyyancepants,~repeatedly baffling Christendom by continuing to live~,954,2058,1,3,23,951,False,False,fancyyancepants,False
willeudy5,NGU Lacrosse,1439,1265,1,0,73,20,True,False,willeudy5,False
smkammerer,"☆ milton, ga",2891,986,1,8,219,117,False,False,smkammerer,False
r_stanton15,ASU’20 | ΔΣΦ,1055,617,1,0,0,63,True,False,r_stanton15,False
calliedevaney,"I’m not superstitious, but I’m a little stitious || au",2212,1845,1,0,85,288,True,False,calliedevaney,False
ibouton2,Colossians 3:23 / Atlanta / Columbus State Baseball ‘23,606,762,1,0,172,103,True,False,ibouton2,False
charlton_l,,1173,1146,1,0,46,16,False,False,charlton_l,False
bethanysssss,Dog Mom.Dental Hygienist,586,935,1,0,12,749,True,False,bethanysssss,False
kidwellkylie,����~,699,860,1,0,119,9,True,False,kidwellkylie,False
kristenlenichh,snap:kristen12soccer,3755,921,1,5,22,82,False,False,kristenlenichh,False
elizabeth__powers,,848,771,1,0,180,65,False,False,elizabeth__powers,False
raevyn_steele,"Clemson '22 Biochem
��‍��",250,398,1,0,28,3,True,False,raevyn_steele,False
mauriziosavo98,Hi!,443,527,1,0,54,50,True,False,mauriziosavo98,False
chan_hake,Florida Tech Lacrosse� ‘23  |  Snap�:cakehake,547,382,1,0,1,4,False,False,chan_hake,False
addypryor,"� SCAD’23 �
Art Account @adalinewiles",1356,842,1,7,217,103,False,False,addypryor,False
kyle_elphickk,FCS 23’,384,420,1,0,74,2,True,False,kyle_elphickk,False
jacob_denton77,Jillin’ |  CU ‘23 �,827,976,1,0,30,30,True,False,jacob_denton77,False
kendrickreed24,ΣΝ Georgia Southern,1465,1309,1,0,114,14,False,False,kendrickreed24,False
_luke_ramsey_,FCS ‘22 Sc- lukeramsey6,1029,936,1,0,79,0,False,False,_luke_ramsey_,False
bennettleathers,cambridge // snap- bennettl10,1241,1206,1,4,15,35,True,False,bennettleathers,False
morganlinneen,auburn’23 || @au_adpi,1516,766,1,0,209,47,False,False,morganlinneen,False
megsbrews,☆ATL☆ auburn ‘23 ☆ sc: megbrewer7995 ☆ DZ ☆,1686,1968,1,3,182,63,False,False,megsbrews,False
eli_schipper,FHS Senior - Baseball/Basketball                      Snap: eschipper30,782,807,1,0,4,6,True,False,eli_schipper,False
murphy_reeves,sc- murphyyy17,585,426,1,0,196,0,True,False,murphy_reeves,False
lucprothero,UGA ‘23,1108,853,1,0,26,26,True,False,lucprothero,False
trextonlewis,Sc/Trextonilrwis,1017,1252,1,4,224,7,False,False,trextonlewis,False
matsongrose,,1172,1234,1,0,140,11,True,False,matsongrose,False
_connorbruns,FU Golf '19 | CU ‘20,491,431,1,0,24,31,True,False,_connorbruns,False
khourayzubat,"""You're not doing it wrong if no one knows what you're doing"" • CU'21",549,575,1,0,60,17,False,False,khourayzubat,False
rachelpoovey,uga ‘22 � sigma kappa �,1275,894,1,5,126,132,False,False,rachelpoovey,False
thepropheticprophet,Workin on it.,428,555,1,1,99,13,False,False,thepropheticprophet,False
lawson_haigler,����� ����,929,1039,1,0,231,5,True,False,lawson_haigler,False
taylor.herrmann,,741,1706,1,2,155,8,False,False,taylor.herrmann,False
andychapman28,Love God!    FCS ‘21   Snap: andychapman28  Go tigers! �,677,1377,1,0,115,25,True,False,andychapman28,False
carolinedannemiller,"the ceiling is the roof 
area lll/VIII young rider
kentucky ‘23
He > i",1287,1273,1,18,187,259,False,False,carolinedannemiller,False
amytoms30,,512,1658,1,0,14,1256,False,False,amytoms30,False
drew_conroy20,TKA '20 | Snap: drew_conroy20 |,724,907,1,1,78,6,True,False,drew_conroy20,False
ryanmreid,Anything in life worth doing is worth over doing | UGA '21,1375,1015,1,0,77,65,True,False,ryanmreid,False
audrey__bateman,GCSU ‘23,277,502,1,0,64,53,True,False,audrey__bateman,False
katieelipka,Auburn ‘23!!!,1147,923,1,0,26,213,True,False,katieelipka,False
kevinheady,Clemson University Rower��’21 Snapchat- kevin_heady,511,612,1,0,59,4,True,False,kevinheady,False
andrew.may,CU ‘23� �andrew_may01,815,759,1,0,56,15,True,False,andrew.may,False
m.accc,sc// mmmadden3,753,458,1,1,150,0,False,False,m.accc,False
stevenardagna_,ATL | NHS,1634,986,1,1,120,38,True,False,stevenardagna_,False
lilliansumner,beaufort |clemson| adpi,1300,1204,1,0,55,29,True,False,lilliansumner,False
rooftopandy,You don’t need to know how to play poker as long as you keep a two up your sleeve.,766,609,1,4,3,109,False,False,rooftopandy,False
camillestroud,"so will i���
samford zeta!!!! 
atl->bhm",2827,1259,1,7,245,110,False,False,camillestroud,False
anabundanceof.katelyns,,95,81,1,2,11,322,True,False,anabundanceof.katelyns,False
ian.mcmillan,UGA ‘23,1203,937,1,0,39,54,True,False,ian.mcmillan,False
juliagyoung_,"☼ ☽ �
atl | clemson sk",1042,874,1,0,124,59,True,False,juliagyoung_,False
sydney.hull,"UofSC ‘23 
Psalms 23:1-4",1001,952,1,6,204,336,False,False,sydney.hull,False
harrisonmaney,22’ | snap: hmaney04,799,726,1,0,139,0,True,False,harrisonmaney,False
will_peterson02,sc: will_peterson02,692,655,1,0,127,3,False,False,will_peterson02,False
flaherty_grace,"tyler {true story}
partnered with: @abigailpreece_photography 
�",448,263,1,2,16,30,False,False,flaherty_grace,False
whitney.bond,Sc:whits234,1829,815,1,5,48,52,False,False,whitney.bond,False
taylor.connelly,"2 Timothy 4:7-8
Snap: tay.connelly // FCS ‘20 // MSU ‘24",671,1024,1,9,122,29,True,False,taylor.connelly,False
abbyebeard,AU ‘24 !!!!!!,1027,1168,1,0,144,47,True,False,abbyebeard,False
carolinedfeatherston,@au_aoii,1658,872,1,4,186,95,True,False,carolinedfeatherston,False
allyditano,"university of georgia ☆
IX • XXIX • MCMLXIII",2969,2349,1,4,9,102,True,False,allyditano,False
kaillinreid,"Roswell, GA  USC",762,661,1,0,72,26,False,False,kaillinreid,False
chandlerfurman,Laugh often! |  ‘22,1019,1278,1,0,84,317,True,False,chandlerfurman,False
matt__morton,UGA '22,1013,968,1,0,137,32,True,False,matt__morton,False
jackson_filipowicz,BT 20’ // West Point football 24’ #53�,922,1067,1,0,85,16,True,False,jackson_filipowicz,False
natalieexley,"Athens, GA 
@aoiiuga + @princeavenueyl",1764,1354,1,2,174,276,True,False,natalieexley,False
blake.mordecai,,1881,1037,1,6,62,32,False,False,blake.mordecai,False
charlie_thom,UAB '21,597,492,1,0,96,57,False,False,charlie_thom,False
bryce_merrell,"-Clemson Crew ‘22
60% of the time my bus starts every time
I also take ~pictures~ of ~things~",485,522,1,0,56,43,False,False,bryce_merrell,False
emilywilder1,"saved by grace� 
★Shorter 22’★ 
ZTA @ztaatshorter",1882,2132,1,5,9,190,False,False,emilywilder1,False
ekmiv,“Bring back big edwin”,310,293,1,0,103,9,True,False,ekmiv,False
natedubes,Clemson ME 2020,386,278,1,0,54,30,False,False,natedubes,False
carolinedumbrell,"milton, ga �� san diego, ca �� high point, nc 
High Point University ‘23�",1137,3983,1,0,1,10,True,False,carolinedumbrell,False
jennawilson_,"☆@msstatekd☆
•He is king forever•
����",1741,1372,1,11,172,142,False,False,jennawilson_,False
mattyoung.13,"Milton GA
Snap: Mdy_01
War Eagle",598,675,1,0,22,2,True,False,mattyoung.13,False
kpederson417,Uga ‘23,1920,1087,1,0,10,36,False,False,kpederson417,False
maddyslocumb,"uga ‘23 !!! 
@alphachiuga",1672,2537,1,5,39,265,False,False,maddyslocumb,False
clemson_crew,Clemson Rowing Association,1590,378,0,0,63,259,False,False,clemson_crew,False
tommyfricano,Gcsu ‘23,392,235,1,1,3,19,True,False,tommyfricano,False
savannahmansell,atl ��samford zta,1560,888,1,0,198,76,False,False,savannahmansell,False
davidarmstrong9,� WashU ‘23,1073,1097,1,0,19,133,False,False,davidarmstrong9,False
brittany.walkerr,"Long Island⚓�
Clemson ‘23",1350,803,1,0,18,41,True,False,brittany.walkerr,False
blakescott22,"lsu ‘24
Sc: blake_scott295",848,817,1,0,162,7,False,False,blakescott22,False
kellyhill_,"Tampa | TN
#rollstein",1430,1038,1,0,5,15,True,False,kellyhill_,False
davis_anderson11,ung’23,559,723,1,2,13,10,True,False,davis_anderson11,False
lu.blaha,Tell me about it stud,2001,1028,1,4,123,29,True,False,lu.blaha,False
riley_kathryn,"georgia college
@deltazetagcsu",789,735,1,2,79,36,False,False,riley_kathryn,False
eliseanzaldua,"Because He lives 
ATL � @alphachiua",2352,2242,1,5,157,114,False,False,eliseanzaldua,False
lizziethompsonn,south carolina beach volleyball ‘24                                  sc// lizzie_112,1631,1216,1,0,215,123,True,False,lizziethompsonn,False
_ccarmstrong_,Signal ‘19 || UTC ‘23 || YL || Vesper Point || ΧΩ,1766,3598,1,2,10,96,True,False,_ccarmstrong_,False
sydneyrountree_,"jesus wins !!!
atlanta - auburn 
�@au_aoii �",1052,902,1,0,189,49,False,False,sydneyrountree_,False
cameron_swartz623,BC WBB #1�// ATL,1757,1615,1,0,151,52,True,False,cameron_swartz623,False
emilyy.hill1,"I will build my life upon His love 
BAMA ΦM || @uaphimu",3065,3068,1,7,29,523,False,False,emilyy.hill1,False
aubreybreed,Samford ΣΧ,1016,982,1,1,89,40,False,False,aubreybreed,False
mary_brophy17,"Penfield ‘18
Clemson ‘22ish",698,552,1,0,44,28,True,False,mary_brophy17,False
kennedy_taylor11,"UTK ‘22 ΧΩ | @ylgibbs
we are here to love. nothing else matters.",1687,1144,1,12,154,279,False,False,kennedy_taylor11,False
xx_srewopkcaj_xx,,49,85,1,0,17,86,True,False,xx_srewopkcaj_xx,False
francescamarto,atl | ksu ‘22,1764,829,1,3,130,146,False,False,francescamarto,False
brooke.blanchard,"southern ‘23
snap//brooke.blanch",1190,981,1,3,131,58,False,False,brooke.blanchard,False
caitlin.welty,"Do what makes your soul shine - Mamma Mia
uga � @ugasigmakappa",1950,1417,1,1,93,67,True,False,caitlin.welty,False
gabbyquinnn,,1874,3649,1,0,11,10,False,False,gabbyquinnn,False
erikwuerfel,"Clemson Mechanical Engineering
Yells at rowers for @clemson_crew",405,441,1,2,49,25,True,False,erikwuerfel,False
tylermorris.28,Cambridge,1457,1908,1,1,19,10,False,False,tylermorris.28,False
hannahmhirsch,Georgia College ‘23 | ΑΔΠ,1615,1070,1,2,33,136,False,False,hannahmhirsch,False
josh_mclaughlin4,"fellowship christian school ‘21
sc- j_mclaughlin2
 @ispyfoundation",720,802,1,0,152,0,False,False,josh_mclaughlin4,False
hayden_henderson,University of Tennessee ‘21                                 Snap- Haydenhen49                                            ΦΔΘ,998,499,1,0,13,12,True,False,hayden_henderson,False
rjwinchester,Auburn ‘24��,1223,865,1,3,191,115,True,False,rjwinchester,False
benbone19,Nola | Clemson | PPP,881,997,1,0,61,84,True,False,benbone19,False
brookelle_bassie,CU ‘23 | ΚΔ,1030,1005,1,0,64,21,True,False,brookelle_bassie,False
taylormercerballl,"KR ‘21
@taylor_ball143",919,704,1,7,8,38,False,False,taylormercerballl,False
